sample_id,customerID,num_sample,test_name,receive_date,analysis_date,report_date,result
65,60,30,EO157,2024-01-03,2024-01-28,2024-02-22,Negative
66,30,39,Aflatoxin,2024-01-16,2024-02-23,2024-03-10,<1
67,4,28,Salmonella,2024-02-27,2024-03-15,2024-03-16,Positive
68,99,31,Listeria Mono,2024-03-08,2024-03-09,2024-03-17,Negative
69,24,97,Aerobic Place Count,2024-02-15,2024-03-15,2024-03-16,<1
70,59,37,Aerobic Place Count,2024-01-19,2024-03-12,2024-03-16,<1
71,74,53,Staph,2024-03-06,2024-03-11,2024-03-12,2197
72,56,64,Listeria Spp,2024-02-12,2024-03-10,2024-03-10,Negative
73,49,82,Listeria Spp,2024-02-07,2024-02-19,2024-03-11,Negative
74,70,74,Total Coliform,2024-02-20,2024-03-07,2024-03-13,<1
75,100,45,Salmonella,2024-01-15,2024-01-30,2024-03-11,Negative
76,83,79,Enterobateria,2024-02-25,2024-03-01,2024-03-17,<1
77,74,19,Total Coliform,2024-01-24,2024-02-03,2024-02-18,<1
78,85,60,E.Coli Count,2024-03-07,2024-03-16,2024-03-17,<1
79,69,46,Listeria Spp,2024-03-13,2024-03-15,2024-03-15,Negative
80,22,78,EO157,2024-02-24,2024-02-24,2024-02-27,Negative
81,29,36,E.Coli Count,2024-01-17,2024-01-27,2024-02-19,<1
82,68,37,Total Coliform,2024-02-23,2024-03-09,2024-03-17,<1
83,85,15,Aflatoxin,2024-02-09,2024-02-24,2024-03-14,<1
84,59,70,Aflatoxin,2024-03-08,2024-03-10,2024-03-15,<1
85,35,66,E.Coli Count,2024-03-13,2024-03-16,2024-03-17,<1
86,44,37,E.Coli Count,2024-01-21,2024-01-31,2024-02-25,7066
87,47,3,Yeast,2024-02-01,2024-02-02,2024-02-07,<1
88,88,30,Aflatoxin,2024-02-02,2024-02-28,2024-03-06,<1
89,36,56,Aflatoxin,2024-01-30,2024-03-07,2024-03-09,<1
90,83,22,EO157,2024-01-19,2024-03-17,2024-03-17,Negative
91,15,100,Ochratoxin,2024-03-02,2024-03-16,2024-03-17,<1
92,86,53,EO157,2024-01-16,2024-01-28,2024-02-17,Positive
93,7,39,Mold,2024-02-26,2024-02-28,2024-03-13,<1
94,18,79,Listeria Mono,2024-01-04,2024-03-12,2024-03-12,Negative
95,6,43,Aerobic Place Count,2024-02-18,2024-02-27,2024-03-06,<1
96,10,1,Enterobateria,2024-01-26,2024-03-01,2024-03-05,<1
97,17,35,EO157,2024-02-11,2024-02-24,2024-03-12,Negative
98,22,47,Ochratoxin,2024-03-03,2024-03-07,2024-03-15,<1
99,33,73,Ochratoxin,2024-02-19,2024-02-29,2024-03-13,<1
100,44,2,Yeast,2024-01-28,2024-02-04,2024-03-14,<1
101,78,69,EO157,2024-03-17,2024-03-17,2024-03-17,Negative
102,9,62,Ochratoxin,2024-01-14,2024-02-25,2024-03-13,<1
103,65,94,EO157,2024-02-19,2024-03-02,2024-03-11,Negative
104,53,3,Aerobic Place Count,2024-02-05,2024-03-01,2024-03-16,<1
105,10,23,Staph,2024-01-31,2024-02-05,2024-02-10,<1
106,89,87,Listeria Mono,2024-01-13,2024-02-15,2024-02-18,Negative
107,30,71,Mold,2024-03-05,2024-03-10,2024-03-11,2811
108,72,68,Listeria Mono,2024-02-11,2024-02-26,2024-03-10,Negative
109,46,96,Aerobic Place Count,2024-03-05,2024-03-07,2024-03-08,<1
110,83,81,Total Coliform,2024-01-04,2024-03-04,2024-03-07,<1
111,22,74,Listeria Spp,2024-02-11,2024-02-27,2024-03-03,Negative
112,95,68,Total Coliform,2024-03-11,2024-03-12,2024-03-12,<1
113,72,58,Aflatoxin,2024-01-20,2024-03-06,2024-03-15,<1
114,64,7,Staph,2024-01-26,2024-02-15,2024-02-16,3621
115,61,55,Listeria Spp,2024-01-22,2024-02-24,2024-03-09,Negative
116,37,17,EO157,2024-01-26,2024-03-13,2024-03-17,Negative
117,49,40,Ochratoxin,2024-02-19,2024-03-02,2024-03-07,<1
118,16,75,Total Coliform,2024-03-17,2024-03-17,2024-03-17,<1
119,81,98,Listeria Mono,2024-01-27,2024-03-05,2024-03-07,Negative
120,1,35,Listeria Spp,2024-01-29,2024-02-07,2024-03-16,Negative
121,1,34,E.Coli Count,2024-02-07,2024-02-23,2024-03-07,4911
122,95,78,Aerobic Place Count,2024-01-07,2024-03-11,2024-03-11,<1
123,4,3,Aerobic Place Count,2024-01-13,2024-03-17,2024-03-17,<1
124,55,36,Mold,2024-01-28,2024-02-08,2024-03-11,5483
125,75,8,Listeria Spp,2024-02-16,2024-03-04,2024-03-06,Negative
126,4,20,Listeria Spp,2024-02-04,2024-03-09,2024-03-12,Negative
127,56,78,Enterobateria,2024-01-20,2024-03-15,2024-03-16,<1
128,83,48,Total Coliform,2024-03-10,2024-03-13,2024-03-16,3699
129,14,91,Aflatoxin,2024-02-10,2024-02-11,2024-02-13,<1
130,66,47,Total Coliform,2024-02-12,2024-03-08,2024-03-15,<1
131,3,61,Aflatoxin,2024-02-27,2024-03-02,2024-03-17,2615
132,50,89,Ochratoxin,2024-02-25,2024-02-26,2024-03-11,<1
133,8,21,Yeast,2024-01-14,2024-02-18,2024-02-27,<1
134,27,95,E.Coli Count,2024-01-07,2024-01-31,2024-02-19,<1
135,93,86,Mold,2024-03-12,2024-03-17,2024-03-17,<1
136,52,76,Mold,2024-01-05,2024-01-20,2024-03-17,<1
137,2,31,Listeria Mono,2024-01-17,2024-02-20,2024-02-22,Negative
138,22,35,EO157,2024-02-29,2024-03-14,2024-03-16,Negative
139,44,83,Listeria Mono,2024-01-21,2024-02-01,2024-02-04,Negative
140,29,67,Yeast,2024-02-03,2024-02-19,2024-03-15,<1
141,41,63,Aerobic Place Count,2024-02-09,2024-03-06,2024-03-13,<1
142,55,25,E.Coli Count,2024-03-02,2024-03-06,2024-03-17,<1
143,58,32,Aflatoxin,2024-02-18,2024-03-13,2024-03-16,<1
144,10,71,Enterobateria,2024-01-09,2024-01-13,2024-02-13,<1
145,81,93,Aflatoxin,2024-03-07,2024-03-09,2024-03-13,<1
146,11,63,Yeast,2024-01-19,2024-02-27,2024-03-10,<1
147,75,82,Aflatoxin,2024-01-05,2024-01-25,2024-03-04,<1
148,43,75,Aerobic Place Count,2024-02-07,2024-02-16,2024-03-05,<1
149,39,76,EO157,2024-01-19,2024-02-09,2024-02-29,Negative
150,81,36,Mold,2024-01-27,2024-02-07,2024-02-28,<1
151,32,5,Ochratoxin,2024-03-08,2024-03-10,2024-03-15,<1
152,66,7,Ochratoxin,2024-01-20,2024-02-03,2024-02-16,<1
153,16,62,Aerobic Place Count,2024-01-01,2024-03-10,2024-03-15,474
154,25,16,E.Coli Count,2024-03-09,2024-03-12,2024-03-12,<1
155,85,78,Aflatoxin,2024-02-19,2024-03-13,2024-03-14,<1
156,45,24,EO157,2024-01-28,2024-02-27,2024-03-01,Negative
157,94,9,Salmonella,2024-01-20,2024-02-28,2024-03-08,Negative
158,21,57,EO157,2024-02-24,2024-03-07,2024-03-15,Negative
159,7,49,E.Coli Count,2024-01-25,2024-02-08,2024-03-04,<1
160,57,54,E.Coli Count,2024-03-16,2024-03-16,2024-03-17,<1
161,73,92,Mold,2024-01-27,2024-03-02,2024-03-09,<1
162,20,20,Total Coliform,2024-03-14,2024-03-15,2024-03-15,<1
163,61,83,Mold,2024-01-19,2024-02-24,2024-02-29,<1
164,27,59,Staph,2024-03-15,2024-03-15,2024-03-16,<1
165,38,87,Salmonella,2024-01-12,2024-02-22,2024-03-06,Negative
166,70,81,Staph,2024-01-22,2024-02-03,2024-03-01,<1
167,34,80,EO157,2024-02-11,2024-03-05,2024-03-12,Negative
168,57,68,Aflatoxin,2024-01-06,2024-01-25,2024-03-16,<1
169,36,79,Listeria Spp,2024-02-15,2024-03-10,2024-03-16,Negative
170,54,93,Listeria Mono,2024-02-04,2024-03-09,2024-03-12,Negative
171,13,60,Enterobateria,2024-03-14,2024-03-17,2024-03-17,815
172,95,77,Total Coliform,2024-02-22,2024-02-28,2024-03-13,<1
173,19,65,EO157,2024-03-09,2024-03-12,2024-03-16,Negative
174,99,49,EO157,2024-03-03,2024-03-12,2024-03-13,Negative
175,49,45,Total Coliform,2024-01-26,2024-02-17,2024-02-25,<1
176,60,49,Yeast,2024-03-12,2024-03-15,2024-03-17,<1
177,81,17,Total Coliform,2024-02-05,2024-02-13,2024-02-16,<1
178,50,79,Staph,2024-02-07,2024-03-06,2024-03-12,6048
179,66,80,Mold,2024-02-19,2024-03-11,2024-03-13,<1
180,33,99,Staph,2024-02-08,2024-02-11,2024-03-16,<1
181,66,58,Aerobic Place Count,2024-03-16,2024-03-16,2024-03-17,<1
182,22,89,Ochratoxin,2024-02-15,2024-03-14,2024-03-17,<1
183,23,33,Ochratoxin,2024-01-31,2024-03-06,2024-03-16,<1
184,1,8,Listeria Mono,2024-02-14,2024-02-28,2024-02-29,Negative
185,78,41,Aerobic Place Count,2024-02-18,2024-02-26,2024-02-28,<1
186,36,67,Mold,2024-02-09,2024-02-13,2024-03-08,<1
187,63,37,Total Coliform,2024-01-14,2024-03-09,2024-03-11,<1
188,5,4,Enterobateria,2024-01-23,2024-02-20,2024-02-25,6033
189,36,65,Staph,2024-02-25,2024-03-15,2024-03-15,<1
190,52,12,EO157,2024-01-05,2024-03-13,2024-03-17,Negative
191,84,82,Ochratoxin,2024-01-27,2024-02-14,2024-03-09,<1
192,8,67,Yeast,2024-01-10,2024-01-10,2024-01-11,<1
193,29,60,Aerobic Place Count,2024-03-13,2024-03-17,2024-03-17,<1
194,47,85,Ochratoxin,2024-01-01,2024-01-02,2024-03-10,<1
195,57,83,Ochratoxin,2024-01-10,2024-02-16,2024-02-26,<1
196,42,26,Staph,2024-03-16,2024-03-16,2024-03-16,<1
197,86,65,Aflatoxin,2024-02-15,2024-02-15,2024-03-01,<1
198,84,20,Mold,2024-01-05,2024-02-26,2024-03-13,<1
199,95,59,Staph,2024-01-13,2024-02-23,2024-03-06,<1
200,100,5,Aflatoxin,2024-03-17,2024-03-17,2024-03-17,<1
201,50,67,EO157,2024-02-08,2024-03-08,2024-03-11,Negative
202,34,47,Yeast,2024-02-15,2024-03-07,2024-03-08,1625
203,45,90,EO157,2024-01-20,2024-03-03,2024-03-14,Negative
204,81,23,Aflatoxin,2024-01-08,2024-03-12,2024-03-15,<1
205,68,46,Yeast,2024-01-29,2024-02-27,2024-03-03,<1
206,15,87,Listeria Spp,2024-01-06,2024-01-07,2024-02-05,Negative
207,40,88,E.Coli Count,2024-02-02,2024-02-14,2024-03-09,1767
208,43,44,Mold,2024-03-12,2024-03-14,2024-03-15,1255
209,97,91,Staph,2024-01-31,2024-02-15,2024-03-05,<1
210,80,27,Yeast,2024-02-22,2024-03-17,2024-03-17,<1
211,21,1,Yeast,2024-02-13,2024-02-23,2024-03-02,<1
212,47,20,Ochratoxin,2024-02-20,2024-02-29,2024-03-01,<1
213,37,55,Aflatoxin,2024-01-29,2024-02-13,2024-03-10,<1
214,72,94,Yeast,2024-01-13,2024-02-25,2024-03-02,<1
215,80,68,EO157,2024-01-23,2024-03-16,2024-03-17,Negative
216,30,52,Listeria Spp,2024-01-29,2024-03-16,2024-03-17,Negative
217,24,11,Mold,2024-01-10,2024-02-06,2024-03-14,<1
218,10,73,Aerobic Place Count,2024-01-30,2024-03-08,2024-03-14,<1
219,54,50,Ochratoxin,2024-03-16,2024-03-17,2024-03-17,<1
220,16,22,Enterobateria,2024-02-15,2024-03-03,2024-03-08,<1
221,43,99,Listeria Mono,2024-01-12,2024-02-16,2024-02-23,Negative
222,33,37,Total Coliform,2024-01-25,2024-01-28,2024-03-03,<1
223,76,7,EO157,2024-01-13,2024-01-29,2024-03-11,Negative
224,24,77,Enterobateria,2024-01-06,2024-01-18,2024-02-06,7446
225,47,84,EO157,2024-01-26,2024-02-12,2024-02-14,Negative
226,11,62,Aflatoxin,2024-01-13,2024-02-24,2024-03-02,<1
227,76,31,Listeria Spp,2024-01-09,2024-01-30,2024-03-01,Negative
228,38,71,Enterobateria,2024-01-13,2024-03-06,2024-03-14,<1
229,12,17,Enterobateria,2024-02-09,2024-02-20,2024-03-07,<1
230,47,6,Salmonella,2024-01-21,2024-02-28,2024-03-07,Negative
231,46,94,Listeria Mono,2024-02-02,2024-02-08,2024-02-26,Negative
232,48,17,Enterobateria,2024-01-19,2024-01-22,2024-02-04,<1
233,71,86,EO157,2024-01-03,2024-02-17,2024-03-06,Negative
234,2,10,Total Coliform,2024-01-12,2024-03-14,2024-03-16,<1
235,90,67,Total Coliform,2024-02-29,2024-03-07,2024-03-10,<1
236,48,48,Listeria Mono,2024-03-15,2024-03-17,2024-03-17,Negative
237,89,64,E.Coli Count,2024-02-08,2024-03-16,2024-03-17,<1
238,14,6,Staph,2024-02-13,2024-02-21,2024-03-06,<1
239,13,1,Staph,2024-03-09,2024-03-11,2024-03-12,<1
240,79,45,Aerobic Place Count,2024-01-02,2024-03-03,2024-03-14,<1
241,36,71,Enterobateria,2024-03-14,2024-03-16,2024-03-16,<1
242,39,64,Total Coliform,2024-03-07,2024-03-13,2024-03-16,<1
243,90,35,Aflatoxin,2024-02-08,2024-03-09,2024-03-09,<1
244,46,61,Listeria Mono,2024-01-11,2024-03-03,2024-03-16,Negative
245,19,62,Listeria Spp,2024-02-07,2024-03-02,2024-03-05,Negative
246,58,2,Total Coliform,2024-01-04,2024-03-16,2024-03-17,<1
247,42,88,Listeria Spp,2024-02-19,2024-02-22,2024-03-15,Negative
248,24,24,Aflatoxin,2024-02-19,2024-03-13,2024-03-15,<1
249,74,88,Yeast,2024-01-20,2024-01-28,2024-02-07,<1
250,1,89,Ochratoxin,2024-01-26,2024-03-15,2024-03-15,<1
251,44,10,Staph,2024-01-06,2024-01-27,2024-03-14,<1
252,57,16,Salmonella,2024-01-06,2024-03-12,2024-03-12,Negative
253,8,97,Enterobateria,2024-01-03,2024-02-05,2024-02-21,<1
254,34,2,Yeast,2024-03-08,2024-03-08,2024-03-16,<1
255,62,33,Listeria Spp,2024-03-03,2024-03-05,2024-03-17,Negative
256,39,63,Aflatoxin,2024-01-13,2024-02-21,2024-03-08,2774
257,53,13,E.Coli Count,2024-03-16,2024-03-17,2024-03-17,<1
258,20,33,Total Coliform,2024-02-13,2024-03-04,2024-03-05,<1
259,97,17,Aerobic Place Count,2024-03-14,2024-03-15,2024-03-17,<1
260,98,14,Aerobic Place Count,2024-01-28,2024-02-28,2024-03-05,<1
261,37,95,Ochratoxin,2024-01-21,2024-02-29,2024-03-10,<1
262,38,61,Salmonella,2024-02-15,2024-03-12,2024-03-15,Negative
263,27,65,Total Coliform,2024-01-03,2024-02-26,2024-03-05,<1
264,96,81,Ochratoxin,2024-02-06,2024-02-27,2024-03-15,<1
265,62,25,Total Coliform,2024-03-10,2024-03-14,2024-03-16,9958
266,100,40,Aflatoxin,2024-03-12,2024-03-16,2024-03-17,<1
267,34,14,Aflatoxin,2024-03-09,2024-03-14,2024-03-14,<1
268,66,21,Yeast,2024-01-20,2024-02-09,2024-03-17,9879
269,76,80,Ochratoxin,2024-01-21,2024-02-08,2024-03-06,<1
270,92,40,Ochratoxin,2024-01-20,2024-02-24,2024-03-07,<1
271,28,35,Yeast,2024-03-07,2024-03-09,2024-03-13,7597
272,92,77,EO157,2024-03-06,2024-03-07,2024-03-09,Negative
273,28,57,Mold,2024-02-12,2024-02-26,2024-03-07,<1
274,18,3,Staph,2024-02-24,2024-03-12,2024-03-17,<1
275,73,51,Ochratoxin,2024-03-05,2024-03-13,2024-03-15,<1
276,6,23,Salmonella,2024-02-29,2024-03-10,2024-03-10,Negative
277,95,34,Aerobic Place Count,2024-01-16,2024-02-11,2024-02-22,<1
278,4,60,Aflatoxin,2024-03-13,2024-03-14,2024-03-17,2186
279,82,66,Total Coliform,2024-01-10,2024-03-13,2024-03-13,<1
280,32,67,Listeria Mono,2024-01-26,2024-02-15,2024-03-01,Negative
281,45,19,Staph,2024-02-28,2024-03-09,2024-03-11,<1
282,34,71,Ochratoxin,2024-02-28,2024-03-12,2024-03-14,<1
283,68,85,Enterobateria,2024-02-01,2024-02-12,2024-03-04,3096
284,70,100,Aflatoxin,2024-03-03,2024-03-11,2024-03-16,<1
285,6,43,Enterobateria,2024-01-15,2024-01-26,2024-02-19,<1
286,26,99,Salmonella,2024-01-15,2024-02-12,2024-02-12,Negative
287,81,97,Listeria Mono,2024-03-02,2024-03-04,2024-03-11,Negative
288,12,55,Yeast,2024-02-21,2024-03-01,2024-03-09,<1
289,74,2,Mold,2024-02-29,2024-03-09,2024-03-10,<1
290,43,47,Total Coliform,2024-02-22,2024-03-09,2024-03-17,<1
291,70,100,Listeria Spp,2024-01-11,2024-02-26,2024-03-17,Negative
292,5,75,Mold,2024-01-06,2024-03-13,2024-03-16,<1
293,60,43,Enterobateria,2024-03-05,2024-03-11,2024-03-17,<1
294,25,95,Ochratoxin,2024-02-04,2024-03-15,2024-03-17,1634
295,88,63,Listeria Spp,2024-02-25,2024-03-03,2024-03-15,Negative
296,68,59,Aflatoxin,2024-02-15,2024-02-20,2024-02-23,<1
297,43,53,Total Coliform,2024-01-20,2024-02-27,2024-02-28,<1
298,83,52,Yeast,2024-02-15,2024-02-19,2024-02-21,<1
299,18,82,Aerobic Place Count,2024-03-06,2024-03-11,2024-03-17,<1
300,48,3,Total Coliform,2024-02-29,2024-03-14,2024-03-16,<1
301,26,62,Total Coliform,2024-01-27,2024-02-05,2024-02-26,<1
302,8,13,Enterobateria,2024-01-20,2024-01-23,2024-02-12,<1
303,58,82,Ochratoxin,2024-02-17,2024-02-18,2024-02-23,<1
304,4,5,Listeria Mono,2024-02-02,2024-03-14,2024-03-15,Negative
305,62,83,Mold,2024-03-07,2024-03-17,2024-03-17,<1
306,33,95,Total Coliform,2024-02-24,2024-02-26,2024-02-28,<1
307,50,65,Ochratoxin,2024-01-27,2024-02-11,2024-03-11,<1
308,99,71,Yeast,2024-03-14,2024-03-14,2024-03-14,<1
309,87,85,Total Coliform,2024-03-02,2024-03-15,2024-03-16,<1
310,41,66,Total Coliform,2024-02-28,2024-03-13,2024-03-13,<1
311,71,7,Mold,2024-01-23,2024-03-01,2024-03-17,<1
312,91,32,Staph,2024-01-25,2024-01-26,2024-03-15,<1
313,61,88,Mold,2024-02-07,2024-02-18,2024-02-21,<1
314,46,52,Aerobic Place Count,2024-02-08,2024-02-29,2024-03-16,<1
315,56,10,Staph,2024-01-17,2024-02-07,2024-03-11,4800
316,41,11,Ochratoxin,2024-01-29,2024-03-05,2024-03-07,<1
317,76,34,E.Coli Count,2024-03-06,2024-03-12,2024-03-16,<1
318,93,26,E.Coli Count,2024-03-13,2024-03-16,2024-03-17,<1
319,11,57,Mold,2024-02-18,2024-02-18,2024-03-09,<1
320,24,65,Aflatoxin,2024-02-12,2024-03-13,2024-03-14,<1
321,59,89,EO157,2024-01-24,2024-02-18,2024-02-21,Negative
322,44,100,Ochratoxin,2024-01-20,2024-02-06,2024-03-03,<1
323,44,81,Listeria Mono,2024-03-05,2024-03-13,2024-03-14,Negative
324,36,43,Yeast,2024-01-26,2024-02-21,2024-03-12,<1
325,91,55,Salmonella,2024-02-24,2024-03-09,2024-03-09,Negative
326,40,91,Yeast,2024-03-17,2024-03-17,2024-03-17,2327
327,91,2,Yeast,2024-03-11,2024-03-15,2024-03-17,4968
328,30,63,Listeria Mono,2024-02-13,2024-03-04,2024-03-15,Negative
329,54,58,Staph,2024-03-07,2024-03-16,2024-03-16,<1
330,1,14,Listeria Mono,2024-01-09,2024-01-31,2024-01-31,Negative
331,40,4,Total Coliform,2024-02-15,2024-02-17,2024-02-28,<1
332,18,54,Mold,2024-02-22,2024-03-14,2024-03-14,<1
333,91,20,Enterobateria,2024-03-05,2024-03-09,2024-03-12,<1
334,9,42,Mold,2024-03-03,2024-03-11,2024-03-15,<1
335,49,29,Ochratoxin,2024-01-24,2024-02-23,2024-02-23,<1
336,50,9,Yeast,2024-02-05,2024-02-08,2024-03-01,<1
337,68,89,Listeria Spp,2024-02-14,2024-02-18,2024-02-26,Negative
338,36,54,Aflatoxin,2024-03-08,2024-03-13,2024-03-14,<1
339,52,2,Aerobic Place Count,2024-01-20,2024-03-10,2024-03-17,<1
340,66,56,Listeria Spp,2024-02-20,2024-03-05,2024-03-09,Negative
341,19,63,Listeria Mono,2024-03-08,2024-03-11,2024-03-16,Negative
342,17,21,Listeria Spp,2024-01-15,2024-03-15,2024-03-16,Negative
343,35,88,Listeria Mono,2024-02-07,2024-02-27,2024-03-11,Negative
344,31,79,Total Coliform,2024-01-03,2024-03-01,2024-03-12,<1
345,86,78,Aflatoxin,2024-01-06,2024-02-29,2024-03-15,<1
346,100,63,Mold,2024-03-04,2024-03-05,2024-03-06,<1
347,20,29,Listeria Mono,2024-01-01,2024-01-11,2024-01-30,Negative
348,5,34,Listeria Spp,2024-03-10,2024-03-10,2024-03-17,Negative
349,65,48,Yeast,2024-02-18,2024-02-28,2024-03-17,<1
350,62,73,Listeria Mono,2024-03-07,2024-03-09,2024-03-09,Positive
351,1,5,E.Coli Count,2024-03-03,2024-03-03,2024-03-05,<1
352,5,18,Listeria Spp,2024-03-11,2024-03-14,2024-03-14,Negative
353,71,19,EO157,2024-03-17,2024-03-17,2024-03-17,Negative
354,96,81,Aerobic Place Count,2024-03-11,2024-03-13,2024-03-15,<1
355,51,42,EO157,2024-02-20,2024-03-03,2024-03-03,Negative
356,21,17,Yeast,2024-02-21,2024-03-14,2024-03-16,<1
357,38,46,Mold,2024-02-22,2024-02-24,2024-02-26,<1
358,22,35,Staph,2024-03-07,2024-03-15,2024-03-17,<1
359,33,8,Listeria Mono,2024-01-31,2024-02-21,2024-03-09,Negative
360,17,85,Yeast,2024-01-06,2024-03-04,2024-03-11,<1
361,16,98,Listeria Mono,2024-03-12,2024-03-16,2024-03-16,Negative
362,15,10,Staph,2024-02-13,2024-03-16,2024-03-16,<1
363,53,84,EO157,2024-01-08,2024-01-15,2024-02-27,Negative
364,99,57,Enterobateria,2024-01-05,2024-01-13,2024-02-04,<1
365,97,73,EO157,2024-01-13,2024-01-19,2024-03-10,Negative
366,17,49,Aflatoxin,2024-01-23,2024-03-08,2024-03-10,4432
367,46,1,Total Coliform,2024-01-19,2024-02-14,2024-02-28,<1
368,100,60,Aflatoxin,2024-02-28,2024-02-28,2024-02-28,<1
369,57,89,Listeria Mono,2024-02-29,2024-03-06,2024-03-08,Negative
370,3,28,Aflatoxin,2024-02-26,2024-03-14,2024-03-15,<1
371,55,51,Listeria Mono,2024-03-06,2024-03-16,2024-03-17,Negative
372,24,8,Aflatoxin,2024-02-14,2024-03-09,2024-03-13,<1
373,47,20,Salmonella,2024-01-15,2024-02-02,2024-02-08,Negative
374,61,61,Enterobateria,2024-03-17,2024-03-17,2024-03-17,<1
375,95,79,Total Coliform,2024-01-30,2024-02-12,2024-02-19,9214
376,55,45,Mold,2024-02-02,2024-02-14,2024-03-03,<1
